3|12:30=διαχρονικό ελαφρολαϊκό ημέρας.pll
3|13:00=ελαφρολαϊκό etnic β.pll
3|14:00=ακουστικό 18.pll
3|14:30=ακουστικό 14-30.pll
3|15:00=ακουστικό 15.pll
3|15:30=ακουστικό 15.30.pll
3|16:00=ακουστικό 16.pll
3|16:30=ακουστικό 16β.pll
3|17:00=rock 70 b.pll
3|17:30=rock 80 a .pll
3|18:00=ακουστικό 18.pll
3|19:00=ελαφρολαϊκό etnic.pll
3|20:00=ακουστικό 20.pll
3|21:00=ακουστικό 21.pll
3|21:30=ακουστικό 16β.pll
3|22:00=rock 70 a .pll
3|22:30=rock 70 b.pll
3|23:00=ακουστικό 23.pll
3|23:30=ακουστικό νεανικό πρώιμο.pll
4|00:00=ακουστικό 00.pll
4|01:00=ακουστικό κλασσικό νύχτας.pll
4|02:00=ακουστικό 00.pll
4|02:30=ακουστικό 1.pll
4|03:00=διαχρονικό ακουστικό νύχτας.pll
4|03:30=διαχρονικό ελαφρολαϊκό νύχτας.pll
4|04:00=ακουστικό 23-30.pll
4|05:00=ελαφρολαϊκό etnic.pll
4|06:00=διαχρονικό έξι.pll
4|06:30=διαχρονικό ακουστικό πρωί.pll
4|07:00=ακουστικό 18.pll
4|07:30=ακουστικό 20.pll
4|08:00=ακουστικό 8.pll
4|08:30=ακουστικό 8-30.pll
4|09:00=ακουστικό 8.pll
4|09:30=ακουστικό 20.pll
4|10:00=ακουστικό 10.pll
4|10:30=ακουστικό 10-30.pll
4|11:00=ακουστικό 10.pll
4|11:30=ακουστικό 10-30.pll
4|12:00=ελαφρολαϊκό etnic.pll
4|13:00=Κρητικό σύγχρονο.pll
4|13:30=ελαφρολαϊκό etnic.pll
4|14:30=ακουστικό 21.pll
4|15:00=ακουστικό 20.pll
4|16:00=ακουστικό 16.pll
4|17:00=rock 90 a.pll
4|17:30=rock 70 a .pll
4|18:00=ακουστικό 18.pll
4|18:30=ακουστικό 20.pll
4|19:00=ελαφρολαϊκό etnic β.pll
4|20:00=διαχρονικό ακουστικό ημέρας.pll
4|20:30=διαχρονικό ελαφρολαϊκό ημέρας.pll
4|21:00=ακουστικό 21.pll
4|21:30=ακουστικό 20.pll
4|22:00=rock 70 a .pll
4|22:30=rock 70 b.pll
4|23:00=ακουστικό 16-30.pll
5|00:00=ακουστικό 00.pll
5|00:30=ακουστικό πρώιμο νύχτας.pll
5|01:00=ακουστικό 1.pll
5|02:00=ελαφρολαϊκό 1.pll
5|02:30=εθνικ αργό.pll
5|03:00=διαχρονικό ελαφρολαϊκό νύχτας.pll
5|03:30=ακουστικό 15.30.pll
5|04:00=ελαφρολαϊκό 1.pll
5|05:00=ακουστικό 15.pll
5|06:00=ελαφρολαϊκό 7.pll
5|06:30=ελαφρολαϊκό etnic.pll
5|07:00=ακουστικό  7.pll
5|08:00=ακουστικό 8.pll
5|09:00=ακουστικό  7.pll
5|10:00=ελαφρολαϊκό etnic.pll
5|11:00=ακουστικό 20.pll
5|12:00=ακουστικό 12.pll
5|12:30=ακουστικό 12-30.pll
5|13:00=διαχρονικό ακουστικό ημέρας.pll
5|13:30=ακουστιό πρώιμο γιορτές.pll
5|14:00=ακουστικό 14-30.pll
5|15:00=ακουστικό 15.pll
5|16:00=ακουστικό 16.pll
